City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,hot springs,1,US,1513025580,12,34.5,-93.06,77.0,14.99
88,te anau,64,NZ,1513029655,91,-45.42,167.72,48.76,3.36
89,zelenoborsk,48,RU,1513029783,81,61.47,64.03,4.26,2.46
90,del rio,1,US,1513025700,32,29.36,-100.9,66.2,3.58
91,hilo,40,US,1513025760,57,19.73,-155.09,78.8,8.05
92,fasa,0,IR,1513026000,47,28.94,53.65,35.6,3.91
93,marsh harbour,0,BS,1513029785,100,26.54,-77.06,70.32,13.2
94,yining,0,CN,1513029785,70,29.04,114.56,19.56,2.24
95,cidreira,0,BR,1513029786,68,-30.18,-50.21,69.6,10.96
96,taoudenni,0,ML,1513029787,37,22.68,-3.98,52.23,4.25
97,ofaqim,0,IL,1513029787,84,31.31,34.62,42.91,5.59
98,peniche,20,PT,1513027800,71,39.36,-9.38,50.0,11.41
99,faanui,12,PF,1513029789,98,-16.48,-151.75,83.5,7.05
100,zyryanka,36,RU,1513029789,60,65.75,150.85,-20.14,2.13
101,pevek,68,RU,1513029790,100,69.7,170.31,-2.86,17.22
102,shasta lake,1,US,1513025640,19,40.68,-122.37,68.0,6.93
103,margate,20,GB,1513029000,80,51.38,1.39,35.6,14.99
104,gimli,0,CA,1513029792,76,50.63,-96.99,11.41,12.19
105,ust-barguzin,0,RU,1513029792,100,53.45,108.98,-23.47,5.7
106,tuktoyaktuk,90,CA,1513026000,84,69.45,-133.04,5.0,20.8
107,san-pedro,0,CI,1513029793,91,4.75,-6.64,78.24,7.38
108,sharan,80,RU,1513029794,84,54.82,54.0,9.39,6.04
109,severo-kurilsk,80,RU,1513029795,100,50.68,156.12,30.0,11.97
110,talara,0,PE,1513026000,61,-4.58,-81.27,77.0,17.22
111,kampong chhnang,88,KH,1513029796,83,12.25,104.67,75.45,1.23
112,barrow,90,US,1513025580,84,71.29,-156.79,6.8,26.4
113,kenora,40,CA,1513026900,72,49.82,-94.43,12.2,13.87
114,mahebourg,20,MU,1513026000,88,-20.41,57.7,75.2,4.7
115,esperance,24,AU,1513029798,95,-33.87,121.9,66.76,6.6
116,stranda,75,NO,1513029000,86,62.31,6.94,33.8,8.05
117,akdepe,90,TM,1513027800,92,42.06,59.38,19.4,9.17
118,port elizabeth,75,ZA,1513026000,82,-33.92,25.57,60.8,3.36
119,goedereede,92,NL,1513029300,75,51.82,3.98,42.8,31.09
120,hermanus,32,ZA,1513029800,81,-34.42,19.23,57.36,5.59
121,lucapa,44,AO,1513029801,91,-8.42,20.74,69.55,2.68
122,rawson,24,AR,1513029801,42,-43.3,-65.1,81.25,21.81
123,chumikan,80,RU,1513029802,62,54.72,135.31,-7.67,11.07
124,bathsheba,20,BB,1513026000,65,13.22,-59.52,80.6,5.82
125,mehamn,20,NO,1513029000,74,71.04,27.85,32.0,27.51
126,coquimbo,90,CL,1513026000,77,-29.95,-71.34,60.8,8.05
127,makakilo city,75,US,1513027500,69,21.35,-158.09,80.6,5.82
128,bara,0,NG,1513029804,37,10.37,10.73,72.57,8.16
129,port-gentil,40,GA,1513026000,88,-0.72,8.78,80.6,4.7
130,morros,36,BR,1513029806,71,-9.45,-46.3,80.76,3.47
131,freeport,1,US,1513029360,48,40.66,-73.58,41.0,3.36
132,etchojoa,20,MX,1513024800,26,26.92,-109.63,82.4,2.24
133,bredasdorp,36,ZA,1513026000,72,-34.53,20.04,62.6,3.36
134,evensk,64,RU,1513029808,100,61.95,159.23,3.58,10.4
135,cordoba,0,AR,1513026000,28,-31.41,-64.18,82.4,10.29
136,talaya,48,RU,1513029810,65,61.38,152.75,-23.6,2.68
137,verkhnevilyuysk,48,RU,1513029811,50,63.45,120.32,-30.13,4.47
138,avarua,90,CK,1513026000,88,-21.21,-159.78,78.8,9.17
139,rio grande,20,BR,1513025100,49,-32.03,-52.1,71.6,11.41
140,bambous virieux,20,MU,1513026000,88,-20.34,57.76,75.2,4.7
141,tuatapere,76,NZ,1513029814,100,-46.13,167.68,51.28,11.41
142,svetlyy,40,RU,1513026000,93,54.67,20.13,37.4,13.42
143,marion,40,US,1513026900,74,40.59,-83.13,37.4,8.05
144,havelock,1,US,1513029240,100,34.88,-76.9,53.6,5.82
145,mpraeso,24,GH,1513029815,80,6.59,-0.73,76.48,3.36
146,nizwa,0,OM,1513029816,67,22.93,57.53,44.13,2.68
147,hikari,75,JP,1513029060,86,33.95,131.95,37.4,6.93
148,kaizuka,40,JP,1513027800,47,34.45,135.35,37.4,21.92
149,richards bay,92,ZA,1513029817,100,-28.78,32.04,65.46,4.36
150,joshimath,88,IN,1513029818,98,30.57,79.57,12.85,1.34
151,fairbanks,75,US,1513025880,86,64.84,-147.72,32.0,4.7
152,andros town,75,BS,1513026000,60,24.7,-77.77,71.6,6.93
153,port macquarie,100,AU,1513026000,72,-31.43,152.92,68.0,3.36
154,bengkulu,92,ID,1513029819,100,-3.8,102.27,76.17,5.48
155,lazaro cardenas,0,MX,1513029820,70,17.96,-102.2,85.35,7.27
156,prince rupert,1,CA,1513026000,44,54.32,-130.32,59.0,5.82
157,san mateo del mar,8,MX,1513029821,93,16.2,-95.0,73.47,36.01
158,lebu,0,CL,1513029822,88,-37.62,-73.65,58.48,15.99
159,ciudad bolivar,8,VE,1513029822,52,8.12,-63.55,87.55,10.4
160,itaquyry,0,PY,1513026000,31,-24.93,-55.22,87.8,3.36
161,cherskiy,36,RU,1513029824,75,68.75,161.3,-11.0,4.14
162,ishigaki,75,JP,1513026000,59,24.34,124.16,66.2,19.46
163,santa rosalia,32,MX,1513029825,97,27.32,-112.28,69.6,5.59
164,oriximina,32,BR,1513029826,70,-1.77,-55.87,87.01,1.79
165,teguise,75,ES,1513027800,87,29.06,-13.56,60.8,11.41
166,tomari,92,RU,1513029827,94,47.77,142.07,30.63,14.43
167,norman wells,75,CA,1513026000,85,65.28,-126.83,17.6,2.24
168,nowe miasto lubawskie,64,PL,1513029828,93,53.42,19.6,41.34,14.76
169,saskylakh,0,RU,1513029828,58,71.92,114.08,-32.56,8.72
170,sterling,40,US,1513027560,52,39.01,-77.43,48.2,3.36
171,alofi,80,NU,1513026000,83,-19.06,-169.92,80.6,6.93
172,cockburn town,92,TC,1513029830,100,21.46,-71.14,76.26,4.59
173,vardo,75,NO,1513027200,86,70.37,31.11,32.0,24.16
174,tiznit,92,MA,1513029831,100,29.58,-9.5,49.53,7.38
175,lugovoy,48,KZ,1513029831,86,42.95,72.76,12.54,2.91
